,articleNo,token (raw text),token (lowercase),lemma,POS,entity IOB,entity type
3564,262,RESEARCH,research,RESEARCH,NNP,B,PERSON
3565,262,LIBRARY,library,LIBRARY,NNP,I,PERSON
3566,262,),),),-RRB-,O,
3567,263,Blind,blind,Blind,NNP,B,ORG
3568,263,Impressions,impressions,Impressions,NNPS,I,ORG
3569,263,:,:,:,:,I,ORG
3570,263,Methods,methods,method,NNS,I,ORG
3571,263,and,and,and,CC,I,ORG
3572,263,Mythologies,mythologies,Mythologies,NNPS,I,ORG
3573,263,in,in,in,IN,I,ORG
3574,263,Book,book,Book,NNP,I,ORG
3575,263,History,history,History,NNP,I,ORG
3576,264,The,the,the,DT,O,
3577,264,Utopia,utopia,Utopia,NNP,O,
3578,264,of,of,of,IN,O,
3579,264,Rules,rules,Rules,NNPS,O,
3580,264,:,:,:,:,O,
3581,264,On,on,on,IN,O,
3582,264,Technology,technology,Technology,NNP,O,
3583,264,",",",",",",",",O,
3584,264,Stupidity,stupidity,Stupidity,NNP,O,
3585,264,",",",",",",",",O,
3586,264,and,and,and,CC,O,
3587,264,the,the,the,DT,B,PRODUCT
3588,264,Secret,secret,Secret,NNP,I,PRODUCT
3589,264,Joys,joys,Joys,NNPS,I,PRODUCT
3590,264,of,of,of,IN,I,PRODUCT
3591,264,Bureaucracy,bureaucracy,Bureaucracy,NNP,I,PRODUCT
3592,265,Ebenezer,ebenezer,Ebenezer,NNP,B,PERSON
3593,265,Parkman,parkman,Parkman,NNP,I,PERSON
3594,265,'s,'s,'s,POS,I,PERSON
3595,265,World,world,World,NNP,O,
3596,265,of,of,of,IN,O,
3597,265,Print,print,Print,NNP,O,
3598,265,:,:,:,:,O,
3599,265,A,a,A,NNP,O,
3600,265,Country,country,Country,NNP,O,
3601,265,Parson,parson,Parson,NNP,O,
3602,265,and,and,and,CC,O,
3603,265,the,the,the,DT,B,ORG
3604,265,Print,print,Print,NNP,I,ORG
3605,265,Culture,culture,Culture,NNP,I,ORG
3606,265,of,of,of,IN,I,ORG
3607,265,Eighteenth,eighteenth,Eighteenth,NNP,O,
3608,265,-,-,-,HYPH,O,
3609,265,Century,century,Century,NNP,O,
3610,265,Anglo,anglo,Anglo,NNP,B,ORG
3611,265,-,-,-,HYPH,I,ORG
3612,265,America,america,America,NNP,I,ORG
3613,266,Apples,apples,apple,NNS,O,
3614,266,to,to,to,IN,O,
3615,266,Apples,apples,apple,NNS,O,
3616,266,:,:,:,:,O,
3617,266,A,a,a,DT,O,
3618,266,Book,book,Book,NNP,O,
3619,266,-,-,-,HYPH,O,
3620,266,History,history,history,NN,O,
3621,266,Approach,approach,approach,NN,O,
3622,266,to,to,to,IN,O,
3623,266,Film,film,Film,NNP,O,
3624,266,Adaptations,adaptations,Adaptations,NNPS,O,
3625,266,in,in,in,IN,O,
3626,266,the,the,the,DT,O,
3627,266,Classroom,classroom,classroom,NN,B,ORG
3628,267,Those,those,those,DT,B,ORG
3629,267,Clunky,clunky,clunky,JJ,I,ORG
3630,267,Things,things,thing,NNS,I,ORG
3631,267,You,you,you,PRP,I,ORG
3632,267,Have,have,have,VBP,I,ORG
3633,267,to,to,to,TO,O,
3634,267,Carry,carry,carry,VB,O,
3635,267,Around,around,Around,NNP,O,
3636,267,:,:,:,:,O,
3637,267,Textual,textual,Textual,NNP,O,
3638,267,Materiality,materiality,Materiality,NNP,O,
3639,267,in,in,in,IN,O,
3640,267,Vernor,vernor,Vernor,NNP,B,ORG
3641,267,Vinge,vinge,Vinge,NNP,I,ORG
3642,267,'s,'s,'s,POS,I,ORG
3643,267,Rainbows,rainbows,rainbow,NNS,O,
3644,267,End,end,end,NN,O,
3645,268,MODULATING,modulating,MODULATING,NNP,O,
3646,268,NARRATIVE,narrative,NARRATIVE,NNP,O,
3647,268,VOICE,voice,voice,NN,O,
3648,268,:,:,:,:,O,
3649,268,MARY,mary,MARY,NNP,B,PERSON
3650,268,RUSSELL,russell,RUSSELL,NNP,I,PERSON
3651,268,MITFORD,mitford,MITFORD,NNP,I,PERSON
3652,268,'S,'s,'s,POS,I,PERSON
3653,268,SKETCHES,sketches,SKETCHES,NNP,O,
3654,268,OF,of,of,IN,O,
3655,268,RURAL,rural,RURAL,NNP,B,ORG
3656,268,CHARACTER,character,CHARACTER,NNP,O,
3657,269,Antoine,antoine,Antoine,NNP,O,
3658,269,Joseph,joseph,Joseph,NNP,B,PERSON
3659,269,Lottinger,lottinger,Lottinger,NNP,I,PERSON
3660,269,'s,'s,'s,POS,I,PERSON
3661,269,first,first,first,JJ,B,ORDINAL
3662,269,book,book,book,NN,O,
3663,269,on,on,on,IN,O,
3664,269,the,the,the,DT,O,
3665,269,common,common,common,JJ,O,
3666,269,cuckoo,cuckoo,cuckoo,NN,O,
3667,269,and,and,and,CC,O,
3668,269,its,its,its,PRP$,O,
3669,269,fosterers,fosterers,fosterer,NNS,O,
3670,269,:,:,:,:,O,
3671,269,a,a,a,DT,O,
3672,269,rare,rare,rare,JJ,O,
3673,269,book,book,book,NN,O,
3674,269,with,with,with,IN,O,
3675,269,three,three,three,CD,B,CARDINAL
3676,269,different,different,different,JJ,O,
3677,269,title,title,title,NN,O,
3678,269,-,-,-,HYPH,O,
3679,269,pages,pages,page,NNS,O,
3680,270,Psychiatric,psychiatric,psychiatric,JJ,B,ORG
3681,270,Penguins,penguins,Penguins,NNPS,I,ORG
3682,270,:,:,:,:,O,
3683,270,Writing,writing,write,VBG,O,
3684,270,on,on,on,IN,O,
3685,270,psychiatry,psychiatry,psychiatry,NN,O,
3686,270,for,for,for,IN,O,
3687,270,Penguin,penguin,Penguin,NNP,B,ORG
3688,270,Books,books,Books,NNP,I,ORG
3689,270,",",",",",",",",O,
3690,270,c.1950,c.1950,c.1950,NN,O,
3691,270,-,-,-,HYPH,O,
3692,270,c.1980,c.1980,c.1980,NN,O,
3693,271,Exchanges,exchanges,exchange,NNS,O,
3694,271,Between,between,between,IN,B,ORG
3695,271,Medical,medical,Medical,NNP,I,ORG
3696,271,and,and,and,CC,O,
3697,271,Literary,literary,Literary,NNP,B,PERSON
3698,271,Discourses,discourses,Discourses,NNPS,I,PERSON
3699,271,in,in,in,IN,O,
3700,271,the,the,the,DT,O,
3701,271,French,french,french,JJ,B,NORP
3702,271,Renaissance,renaissance,Renaissance,NNP,B,ORG
3703,271,:,:,:,:,O,
3704,271,Comparing,comparing,compare,VBG,B,ORG
3705,271,the,the,the,DT,I,ORG
3706,271,Fascination,fascination,Fascination,NNP,I,ORG
3707,271,with,with,with,IN,O,
3708,271,des,des,des,NNP,O,
3709,271,amas,amas,amas,NNP,O,
3710,271,et,et,et,NN,O,
3711,271,pieces,pieces,piece,NNS,O,
3712,271,de,de,de,FW,O,
3713,271,chair,chair,chair,NN,O,
3714,271,informes,informes,informe,NNS,O,
3715,271,in,in,in,IN,O,
3716,271,Montaigne,montaigne,Montaigne,NNP,B,GPE
3717,271,'s,'s,'s,POS,O,
3718,271,Essais,essais,Essais,NNP,B,PERSON
3719,271,and,and,and,CC,O,
3720,271,Joubert,joubert,Joubert,NNP,B,PERSON
3721,271,'s,'s,'s,POS,O,
3722,271,Erreurs,erreurs,Erreurs,NNPS,O,
3723,271,populaires,populaires,populaire,VBZ,O,
3724,272,US,us,US,NNP,B,GPE
3725,272,-,-,-,HYPH,O,
3726,272,Soviet,soviet,Soviet,NNP,O,
3727,272,Antagonism,antagonism,Antagonism,NNP,O,
3728,272,and,and,and,CC,O,
3729,272,the,the,the,DT,B,ORG
3730,272,Indirect,indirect,Indirect,NNP,I,ORG
3731,272,Propaganda,propaganda,Propaganda,NNP,I,ORG
3732,272,of,of,of,IN,I,ORG
3733,272,Book,book,Book,NNP,I,ORG
3734,272,Schemes,schemes,Schemes,NNP,I,ORG
3735,272,in,in,in,IN,O,
3736,272,India,india,India,NNP,B,GPE
3737,272,in,in,in,IN,O,
3738,272,the,the,the,DT,B,DATE
3739,272,1950s,1950s,1950,NNS,I,DATE
3740,273,National,national,national,JJ,O,
3741,273,types,types,type,NNS,O,
3742,273,:,:,:,:,O,
3743,273,The,the,the,DT,O,
3744,273,transatlantic,transatlantic,transatlantic,JJ,O,
3745,273,publication,publication,publication,NN,O,
3746,273,and,and,and,CC,O,
3747,273,reception,reception,reception,NN,O,
3748,273,of,of,of,IN,O,
3749,273,Crania,crania,Crania,NNP,B,PERSON
3750,273,Americana,americana,Americana,NNP,I,PERSON
3751,273,(,(,(,-LRB-,O,
3752,273,1839,1839,1839,CD,B,DATE
3753,273,),),),-RRB-,O,
3754,274,Cheap,cheap,cheap,JJ,B,PERSON
3755,274,Editions,editions,edition,NNS,I,PERSON
3756,274,",",",",",",",",O,
3757,274,Little,little,Little,NNP,B,ORG
3758,274,Books,books,Books,NNPS,I,ORG
3759,274,",",",",",",",",O,
3760,274,and,and,and,CC,O,
3761,274,Handsome,handsome,Handsome,NNP,B,PERSON
3762,274,Duodecimos,duodecimos,Duodecimos,NNP,I,PERSON
3763,274,:,:,:,:,O,
3764,274,A,a,a,DT,O,
3765,274,Book,book,Book,NNP,O,
3766,274,History,history,history,NN,O,
3767,274,Approach,approach,Approach,NNP,O,
3768,274,to,to,to,IN,O,
3769,274,Antebellum,antebellum,Antebellum,NNP,O,
3770,274,Slave,slave,Slave,NNP,O,
3771,274,Narratives,narratives,narrative,NNS,O,
3772,275,The,the,the,DT,O,
3773,275,Polish,polish,Polish,NNP,B,NORP
3774,275,and,and,and,CC,O,
3775,275,Wider,wider,Wider,NNP,B,ORG
3776,275,Central,central,central,JJ,I,ORG
3777,275,European,european,european,JJ,O,
3778,275,Enlightenment,enlightenment,Enlightenment,NNP,O,
3779,275,-,-,-,",",O,
3780,275,was,was,be,VBD,O,
3781,275,there,there,there,RB,O,
3782,275,a,a,a,DT,O,
3783,275,Radical,radical,Radical,NNP,O,
3784,275,Tendency,tendency,Tendency,NNP,O,
3785,275,?,?,?,.,O,
3786,276,Picture,picture,picture,VB,O,
3787,276,it,it,it,PRP,O,
3788,276,all,all,all,DT,O,
3789,276,",",",",",",",",O,
3790,276,Darley,darley,Darley,NNP,B,ORG
3791,276,:,:,:,:,O,
3792,276,Race,race,Race,NNP,O,
3793,276,Politics,politics,Politics,NNP,O,
3794,276,and,and,and,CC,O,
3795,276,the,the,the,DT,B,ORG
3796,276,Media,media,Media,NNP,I,ORG
3797,276,History,history,history,NN,I,ORG
3798,276,of,of,of,IN,I,ORG
3799,276,George,george,George,NNP,B,PERSON
3800,276,Lippard,lippard,Lippard,NNP,I,PERSON
3801,276,'s,'s,'s,POS,I,PERSON
3802,276,The,the,the,DT,O,
3803,276,Quaker,quaker,Quaker,NNP,B,GPE
3804,276,City,city,City,NNP,I,GPE
3805,277,Editorialising,editorialising,Editorialising,NNP,B,PERSON
3806,277,Practices,practices,Practices,NNPS,I,PERSON
3807,277,",",",",",",",",O,
3808,277,Competitive,competitive,Competitive,NNP,O,
3809,277,Marketability,marketability,Marketability,NNP,O,
3810,277,and,and,and,CC,O,
3811,277,James,james,James,NNP,B,PERSON
3812,277,Thomson,thomson,Thomson,NNP,I,PERSON
3813,277,'s,'s,'s,POS,I,PERSON
3814,277,The,the,the,DT,O,
3815,277,Seasons,seasons,season,NNS,B,ORG
3816,278,Alexander,alexander,Alexander,NNP,B,PERSON
3817,278,Seton,seton,Seton,NNP,I,PERSON
3818,278,",",",",",",",",O,
3819,278,First,first,First,NNP,B,FAC
3820,278,Earl,earl,Earl,NNP,I,FAC
3821,278,of,of,of,IN,I,FAC
3822,278,Dunfermline,dunfermline,Dunfermline,NNP,I,FAC
3823,278,:,:,:,:,O,
3824,278,his,his,his,PRP$,O,
3825,278,library,library,library,NN,O,
3826,278,",",",",",",",",O,
3827,278,his,his,his,PRP$,O,
3828,278,house,house,house,NN,O,
3829,278,",",",",",",",",O,
3830,278,his,his,his,PRP$,O,
3831,278,world,world,world,NN,O,
3832,279,Radical,radical,Radical,NNP,O,
3833,279,Book,book,Book,NNP,O,
3834,279,History,history,History,NNP,B,PERSON
3835,279,E.,e.,E.,NNP,I,PERSON
3836,279,P.,p.,P.,NNP,I,PERSON
3837,279,Thompson,thompson,Thompson,NNP,I,PERSON
3838,279,and,and,and,CC,O,
3839,279,The,the,the,DT,O,
3840,279,Making,making,Making,NNP,O,
3841,279,of,of,of,IN,O,
3842,279,the,the,the,DT,O,
3843,279,English,english,English,NNP,B,NORP
3844,279,Working,working,Working,NNP,B,ORG
3845,279,Class,class,Class,NNP,I,ORG
3846,280,Empirical,empirical,Empirical,NNP,O,
3847,280,Bibliography,bibliography,Bibliography,NNP,O,
3848,280,:,:,:,:,O,
3849,280,A,a,A,NNP,O,
3850,280,Decade,decade,Decade,NNP,O,
3851,280,of,of,of,IN,O,
3852,280,Book,book,Book,NNP,O,
3853,280,History,history,history,NN,O,
3854,280,at,at,at,IN,O,
3855,280,Texas,texas,Texas,NNP,B,ORG
3856,280,A&M,a&m,A&M,NNP,I,ORG
3857,281,Locating,locating,locate,VBG,O,
3858,281,the,the,the,DT,O,
3859,281,Minister,minister,Minister,NNP,O,
3860,281,'s,'s,'s,POS,O,
3861,281,Looted,looted,Looted,NNP,B,ORG
3862,281,Books,books,Books,NNPS,I,ORG
3863,281,:,:,:,:,I,ORG
3864,281,From,from,from,IN,O,
3865,281,Provenance,provenance,Provenance,NNP,B,ORG
3866,281,and,and,and,CC,O,
3867,281,Library,library,Library,NNP,B,PERSON
3868,281,History,history,history,NN,I,PERSON
3869,281,to,to,to,IN,O,
3870,281,the,the,the,DT,B,ORG
3871,281,Digital,digital,Digital,NNP,I,ORG
3872,281,Reconstruction,reconstruction,Reconstruction,NNP,I,ORG
3873,281,of,of,of,IN,I,ORG
3874,281,Print,print,Print,NNP,I,ORG
3875,281,Culture,culture,Culture,NNP,I,ORG
3876,282,',',',``,O,
3877,282,Lead[ing,lead[ing,lead[e,VBG,O,
3878,282,],],],-RRB-,O,
3879,282,'em,'em,'em,PRP,O,
3880,282,by,by,by,IN,O,
3881,282,the,the,the,DT,O,
3882,282,Nose,nose,Nose,NNP,B,ORG
3883,282,into,into,into,IN,O,
3884,282,Publick,publick,Publick,NNP,B,PERSON
3885,282,Shame,shame,Shame,NNP,I,PERSON
3886,282,and,and,and,CC,O,
3887,282,Derision,derision,Derision,NNP,B,ORG
3888,282,',',','',O,
3889,282,:,:,:,:,O,
3890,282,Gaspare,gaspare,Gaspare,NNP,O,
3891,282,Tagliacozzi,tagliacozzi,Tagliacozzi,NNP,O,
3892,282,",",",",",",",",O,
3893,282,Alexander,alexander,Alexander,NNP,B,PERSON
3894,282,Read,read,Read,NNP,I,PERSON
3895,282,and,and,and,CC,O,
3896,282,the,the,the,DT,O,
3897,282,Lost,lost,Lost,NNP,O,
3898,282,History,history,history,NN,O,
3899,282,of,of,of,IN,O,
3900,282,Plastic,plastic,Plastic,NNP,O,
3901,282,Surgery,surgery,Surgery,NNP,O,
3902,282,",",",",",",",",O,
3903,282,1600,1600,1600,CD,B,CARDINAL
3904,282,-,-,-,SYM,O,
3905,282,1800,1800,1800,CD,O,
3906,283,Conceptualizing,conceptualizing,conceptualize,VBG,O,
3907,283,audience,audience,audience,NN,O,
3908,283,experience,experience,experience,NN,O,
3909,283,at,at,at,IN,O,
3910,283,the,the,the,DT,O,
3911,283,literary,literary,literary,JJ,O,
3912,283,festival,festival,festival,NN,O,
3913,284,',',',``,O,
3914,284,Public,public,public,JJ,O,
3915,284,',',','',O,
3916,284,and,and,and,CC,O,
3917,284,',',',``,O,
3918,284,Private,private,private,JJ,O,
3919,284,',',','',O,
3920,284,Playhouses,playhouses,playhouse,NNS,O,
3921,284,in,in,in,IN,O,
3922,284,Renaissance,renaissance,Renaissance,NNP,B,ORG
3923,284,England,england,England,NNP,I,ORG
3924,284,:,:,:,:,O,
3925,284,The,the,the,DT,B,WORK_OF_ART
3926,284,Politics,politics,Politics,NNP,I,WORK_OF_ART
3927,284,of,of,of,IN,I,WORK_OF_ART
3928,284,Publication,publication,Publication,NNP,I,WORK_OF_ART
3929,284,Introduction,introduction,introduction,NN,I,WORK_OF_ART
3930,285,',',',``,O,
3931,285,Public,public,public,JJ,O,
3932,285,',',','',O,
3933,285,",",",",",",",",O,
3934,285,',',',``,O,
3935,285,Private,private,private,JJ,O,
3936,285,',',','',O,
3937,285,and,and,and,CC,O,
3938,285,',',',``,O,
3939,285,Common,common,common,JJ,B,WORK_OF_ART
3940,285,',',','',I,WORK_OF_ART
3941,285,Stages,stages,stage,NNS,I,WORK_OF_ART
3942,285,",",",",",",",",O,
3943,285,1559,1559,1559,CD,B,DATE
3944,285,-,-,-,SYM,I,DATE
3945,285,1600,1600,1600,CD,I,DATE
3946,286,The,the,the,DT,O,
3947,286,Emergence,emergence,Emergence,NNP,O,
3948,286,of,of,of,IN,O,
3949,286,the,the,the,DT,O,
3950,286,',',',``,O,
3951,286,Private,private,private,JJ,O,
3952,286,',',','',O,
3953,286,Theatres,theatres,theatre,NNS,O,
3954,286,",",",",",",",",O,
3955,286,1600,1600,1600,CD,B,DATE
3956,286,-,-,-,SYM,I,DATE
3957,286,1625,1625,1625,CD,I,DATE
3958,287,',',',``,O,
3959,287,Private,private,private,JJ,O,
3960,287,',',','',O,
3961,287,and,and,and,CC,O,
3962,287,',',',``,O,
3963,287,Public,public,public,JJ,O,
3964,287,',',','',O,
3965,287,Indoor,indoor,Indoor,NNP,O,
3966,287,Theatres,theatres,Theatres,NNPS,O,
3967,287,",",",",",",",",O,
3968,287,1625,1625,1625,CD,B,DATE
3969,287,-,-,-,HYPH,O,
3970,287,164o,164o,164o,NNPS,O,
3971,288,USING,using,use,VBG,O,
3972,288,RELIGIOUS,religious,RELIGIOUS,NNP,O,
3973,288,ART,art,ART,NNP,O,
3974,288,AS,as,as,IN,O,
3975,288,PICTORIAL,pictorial,PICTORIAL,NNP,O,
3976,288,EVIDENCE,evidence,evidence,NN,O,
3977,288,FOR,for,for,IN,O,
3978,288,MEDIEVAL,medieval,MEDIEVAL,NNP,O,
3979,288,BOOK,book,BOOK,NNP,O,
3980,288,HISTORY,history,HISTORY,NNP,O,
3981,289,Making,making,make,VBG,O,
3982,289,Book,book,Book,NNP,O,
3983,289,History,history,History,NNP,O,
3984,289,in,in,in,IN,O,
3985,289,Timbuktu,timbuktu,Timbuktu,NNP,B,GPE
3986,290,Wonder,wonder,Wonder,NNP,O,
3987,290,Woman,woman,woman,NN,O,
3988,290,:,:,:,:,O,
3989,290,Bondage,bondage,Bondage,NNP,O,
3990,290,and,and,and,CC,O,
3991,290,Feminism,feminism,Feminism,NNP,O,
3992,290,in,in,in,IN,O,
3993,290,the,the,the,DT,O,
3994,290,Marston,marston,Marston,NNP,O,
3995,290,/,/,/,SYM,O,
3996,290,Peter,peter,Peter,NNP,O,
3997,290,Comics,comics,Comics,NNP,O,
3998,290,1941,1941,1941,CD,B,DATE
3999,290,-,-,-,SYM,I,DATE
4000,290,1948,1948,1948,CD,I,DATE
4001,291,Karen,karen,Karen,NNP,B,PERSON
4002,291,Blixen,blixen,Blixen,NNP,I,PERSON
4003,291,in,in,in,IN,O,
4004,291,the,the,the,DT,O,
4005,291,African,african,african,JJ,B,NORP
4006,291,book,book,book,NN,O,
4007,291,and,and,and,CC,O,
4008,291,literary,literary,literary,JJ,O,
4009,291,tourism,tourism,tourism,NN,O,
4010,291,market,market,market,NN,O,
4011,292,The,the,the,DT,O,
4012,292,Qur'an,qur'an,Qur'an,NNP,O,
4013,292,in,in,in,IN,O,
4014,292,the,the,the,DT,O,
4015,292,Low,low,Low,NNP,O,
4016,292,Countries,countries,Countries,NNPS,O,
4017,292,Early,early,early,RB,O,
4018,292,Printed,printed,Printed,NNP,O,
4019,292,Dutch,dutch,Dutch,NNP,O,
4020,292,and,and,and,CC,O,
4021,292,French,french,french,JJ,B,NORP
4022,292,Translations,translations,translation,NNS,O,
4023,293,Authors,authors,Authors,NNP,O,
4024,293,",",",",",",",",O,
4025,293,Publishers,publishers,Publishers,NNPS,B,ORG
4026,293,and,and,and,CC,I,ORG
4027,293,Readers,readers,Readers,NNPS,I,ORG
4028,293,of,of,of,IN,I,ORG
4029,293,Popular,popular,Popular,NNP,I,ORG
4030,293,Literature,literature,Literature,NNP,I,ORG
4031,293,in,in,in,IN,O,
4032,293,Latvia,latvia,Latvia,NNP,B,GPE
4033,293,in,in,in,IN,O,
4034,293,the,the,the,DT,B,DATE
4035,293,Late,late,late,JJ,I,DATE
4036,293,1980s,1980s,1980,NNS,I,DATE
4037,293,and,and,and,CC,O,
4038,293,Early,early,early,JJ,B,DATE
4039,293,1990s,1990s,1990s,CD,I,DATE
4040,294,The,the,the,DT,O,
4041,294,historical,historical,historical,JJ,O,
4042,294,novel,novel,novel,NN,O,
4043,294,and,and,and,CC,O,
4044,294,national,national,national,JJ,O,
4045,294,romanticism,romanticism,romanticism,NN,O,
4046,294,in,in,in,IN,O,
4047,294,the,the,the,DT,O,
4048,294,Netherlands,netherlands,Netherlands,NNP,B,GPE
4049,294,",",",",",",",",O,
4050,294,1790,1790,1790,CD,B,DATE
4051,294,-,-,-,SYM,I,DATE
4052,294,1899,1899,1899,CD,I,DATE
4053,295,Juan,juan,Juan,NNP,B,PERSON
4054,295,de,de,de,NNP,I,PERSON
4055,295,Palafox,palafox,Palafox,NNP,I,PERSON
4056,295,and,and,and,CC,O,
4057,295,China,china,China,NNP,B,GPE
4058,296,Print,print,Print,NNP,O,
4059,296,",",",",",",",",O,
4060,296,Writing,writing,Writing,NNP,B,ORG
4061,296,",",",",",",",",O,
4062,296,and,and,and,CC,O,
4063,296,the,the,the,DT,O,
4064,296,Difference,difference,difference,NN,O,
4065,296,Media,media,medium,NNS,O,
4066,296,Make,make,make,VBP,O,
4067,296,Revisiting,revisiting,revisit,VBG,O,
4068,296,The,the,the,DT,O,
4069,296,Signifying,signifying,Signifying,NNP,O,
4070,296,Monkey,monkey,Monkey,NNP,O,
4071,296,after,after,after,IN,O,
4072,296,Book,book,Book,NNP,B,PERSON
4073,296,History,history,History,NNP,I,PERSON
4074,297,Logical,logical,logical,JJ,O,
4075,297,studies,studies,study,NNS,O,
4076,297,of,of,of,IN,O,
4077,297,Gustav,gustav,Gustav,NNP,B,ORG
4078,297,Shpet,shpet,Shpet,NNP,I,ORG
4079,297,in,in,in,IN,O,
4080,297,the,the,the,DT,O,
4081,297,context,context,context,NN,O,
4082,297,of,of,of,IN,O,
4083,297,modern,modern,modern,JJ,O,
4084,297,philosophical,philosophical,philosophical,JJ,O,
4085,297,and,and,and,CC,O,
4086,297,methodological,methodological,methodological,JJ,O,
4087,297,discussions,discussions,discussion,NNS,O,
4088,297,(,(,(,-LRB-,O,
4089,297,reflections,reflections,reflection,NNS,O,
4090,297,on,on,on,IN,O,
4091,297,the,the,the,DT,O,
4092,297,book,book,book,NN,O,
4093,297,History,history,history,NN,O,
4094,297,as,as,as,IN,O,
4095,297,problem,problem,problem,NN,O,
4096,297,of,of,of,IN,O,
4097,297,logic,logic,logic,NN,O,
4098,297,),),),-RRB-,O,
4099,298,Book,book,book,NN,O,
4100,298,history,history,history,NN,O,
4101,298,from,from,from,IN,O,
4102,298,descriptive,descriptive,descriptive,JJ,O,
4103,298,bibliographies,bibliographies,bibliography,NNS,O,
4104,299,Book,book,book,NN,O,
4105,299,history,history,history,NN,O,
4106,299,from,from,from,IN,O,
4107,299,the,the,the,DT,O,
4108,299,archival,archival,archival,NNP,O,
4109,299,record,record,record,NN,O,
4110,300,Book,book,book,NN,O,
4111,300,history,history,history,NN,O,
4112,300,in,in,in,IN,O,
4113,300,the,the,the,DT,O,
4114,300,reading,reading,reading,NN,O,
4115,300,experience,experience,experience,NN,O,
4116,301,Book,book,book,NN,O,
4117,301,history,history,history,NN,O,
4118,301,in,in,in,IN,O,
4119,301,the,the,the,DT,O,
4120,301,classroom,classroom,classroom,NN,O,
4121,302,Book,book,book,NN,O,
4122,302,in,in,in,IN,O,
4123,302,the,the,the,DT,O,
4124,302,Sociocultural,sociocultural,Sociocultural,NNP,O,
4125,302,History,history,history,NN,O,
4126,302,of,of,of,IN,O,
4127,302,the,the,the,DT,O,
4128,302,East,east,East,NNP,O,
4129,302,of,of,of,IN,O,
4130,302,the,the,the,DT,B,GPE
4131,302,Russian,russian,russian,JJ,I,GPE
4132,302,Empire,empire,Empire,NNP,I,GPE
4133,303,The,the,the,DT,B,ORG
4134,303,Dispersion,dispersion,Dispersion,NNP,I,ORG
4135,303,of,of,of,IN,I,ORG
4136,303,Jesuit,jesuit,Jesuit,NNP,I,ORG
4137,303,Books,books,Books,NNPS,I,ORG
4138,303,Printed,printed,Printed,NNP,I,ORG
4139,303,in,in,in,IN,O,
4140,303,Japan,japan,Japan,NNP,B,GPE
4141,303,:,:,:,:,O,
4142,303,Trends,trends,trend,NNS,O,
4143,303,in,in,in,IN,O,
4144,303,Bibliographical,bibliographical,Bibliographical,NNP,O,
4145,303,Research,research,Research,NNP,O,
4146,303,and,and,and,CC,O,
4147,303,in,in,in,IN,O,
4148,303,Intellectual,intellectual,Intellectual,NNP,B,GPE
4149,303,History,history,History,NNP,I,GPE
4150,304,Mnemonics,mnemonics,mnemonic,NNS,O,
4151,304,in,in,in,IN,O,
4152,304,the,the,the,DT,O,
4153,304,Mouseion,mouseion,Mouseion,NNP,O,
4154,304,Considerations,considerations,Considerations,NNPS,O,
4155,304,on,on,on,IN,O,
4156,304,spatial,spatial,spatial,JJ,O,
4157,304,mnemonics,mnemonics,mnemonic,NNS,O,
4158,304,as,as,as,IN,O,
4159,304,a,a,a,DT,O,
4160,304,tool,tool,tool,NN,O,
4161,304,for,for,for,IN,O,
4162,304,classification,classification,classification,NN,O,
4163,304,and,and,and,CC,O,
4164,304,retrieval,retrieval,retrieval,NN,O,
4165,305,Eugen,eugen,Eugen,NNP,B,ORG
4166,305,Diederichs,diederichs,Diederichs,NNP,I,ORG
4167,305,and,and,and,CC,O,
4168,305,his,his,his,PRP$,O,
4169,305,Publishing,publishing,Publishing,NNP,B,ORG
4170,305,Company,company,Company,NNP,I,ORG
4171,305,.,.,.,.,O,
4172,305,Bibliography,bibliography,Bibliography,NNP,O,
4173,305,and,and,and,CC,O,
4174,305,Book,book,Book,NNP,O,
4175,305,History,history,History,NNP,O,
4176,305,1896,1896,1896,CD,B,DATE
4177,305,till,till,till,IN,O,
4178,305,1931,1931,1931,CD,B,DATE
4179,306,Early,early,early,JJ,O,
4180,306,modern,modern,modern,JJ,O,
4181,306,geography,geography,geography,NN,O,
4182,306,and,and,and,CC,O,
4183,306,the,the,the,DT,O,
4184,306,construction,construction,construction,NN,O,
4185,306,of,of,of,IN,O,
4186,306,a,a,a,DT,O,
4187,306,knowable,knowable,knowable,JJ,O,
4188,306,Africa,africa,Africa,NNP,B,LOC
4189,307,The,the,the,DT,O,
4190,307,study,study,study,NN,O,
4191,307,of,of,of,IN,O,
4192,307,book,book,book,NN,O,
4193,307,history,history,history,NN,O,
4194,308,The,the,the,DT,O,
4195,308,History,history,history,NN,O,
4196,308,of,of,of,IN,O,
4197,308,a,a,a,DT,O,
4198,308,Mountain,mountain,Mountain,NNP,O,
4199,309,HISTORY,history,history,NN,O,
4200,309,AS,as,as,IN,O,
4201,309,A,a,a,DT,O,
4202,309,VEHICLE,vehicle,vehicle,NN,O,
4203,309,OF,of,of,IN,O,
4204,309,NATIONAL,national,NATIONAL,NNP,O,
4205,309,IDENTITY,identity,IDENTITY,NNP,O,
4206,309,IN,in,in,IN,O,
4207,309,JUVENILE,juvenile,JUVENILE,NNP,B,GPE
4208,309,AND,and,and,CC,O,
4209,309,CHILDREN,children,CHILDREN,NNP,O,
4210,309,'S,'s,'s,POS,O,
4211,309,PORTUGUESE,portuguese,portuguese,JJ,O,
